"地域等_番号","地域等_地域","区分","計","農産物の販売なし","50万円未満","50～100万円","100～200","200～300","300～500","500～700","700～1,000","1,000～1,500","1,500～2,000","2,000～3,000","3,000～5,000","5,000万～１億円","１～3億円","3～5億円","5億円以上"
"30.0","和歌山県","1.0","21496.0","1218.0","5678.0","2972.0","2947.0","2147.0","2260.0","1404.0","1319.0","922.0","314.0","196.0","76.0","23.0","15.0","4.0","1.0"
"201.0","和歌山市","2.0","2193.0","182.0","992.0","365.0","225.0","140.0","101.0","46.0","50.0","27.0","28.0","19.0","10.0","7.0","1.0","-","-"
"202.0","海南市","3.0","1352.0","61.0","351.0","141.0","171.0","135.0","194.0","123.0","96.0","60.0","15.0","4.0","1.0","-","-","-","-"
"203.0","橋本市","4.0","1103.0","98.0","442.0","197.0","166.0","75.0","54.0","30.0","20.0","14.0","1.0","1.0","1.0","1.0","3.0","-","-"
"204.0","有田市","5.0","964.0","20.0","122.0","101.0","149.0","123.0","139.0","90.0","103.0","79.0","24.0","7.0","1.0","1.0","4.0","1.0","-"
"205.0","御坊市","6.0","615.0","30.0","141.0","64.0","67.0","63.0","53.0","27.0","41.0","55.0","35.0","25.0","9.0","4.0","1.0","-","-"
"206.0","田辺市","7.0","2239.0","203.0","428.0","246.0","292.0","242.0","284.0","182.0","202.0","112.0","27.0","17.0","4.0","-","-","-","-"
"207.0","新宮市","8.0","72.0","17.0","27.0","11.0","9.0","3.0","1.0","1.0","1.0","1.0","1.0","-","-","-","-","-","-"
"208.0","紀の川市","9.0","3058.0","80.0","688.0","464.0","510.0","388.0","381.0","231.0","156.0","92.0","36.0","21.0","6.0","2.0","2.0","1.0","-"
"209.0","岩出市","10.0","498.0","40.0","265.0","93.0","50.0","17.0","15.0","9.0","5.0","3.0","1.0","-","-","-","-","-","-"
"304.0","紀美野町","11.0","455.0","57.0","157.0","99.0","64.0","19.0","25.0","20.0","8.0","4.0","1.0","1.0","-","-","-","-","-"
"341.0","かつらぎ町","12.0","1087.0","29.0","190.0","155.0","206.0","149.0","154.0","95.0","67.0","29.0","7.0","2.0","2.0","1.0","1.0","-","-"
"343.0","九度山町","13.0","301.0","12.0","76.0","38.0","44.0","44.0","41.0","20.0","17.0","6.0","2.0","-","-","1.0","-","-","-"
"344.0","高野町","14.0","50.0","25.0","18.0","1.0","2.0","-","3.0","1.0","-","-","-","-","-","-","-","-","-"
"361.0","湯浅町","15.0","368.0","15.0","31.0","19.0","30.0","29.0","42.0","59.0","57.0","53.0","15.0","15.0","2.0","-","1.0","-","-"
"362.0","広川町","16.0","359.0","12.0","62.0","39.0","29.0","32.0","51.0","27.0","40.0","32.0","16.0","11.0","7.0","1.0","-","-","-"
"366.0","有田川町","17.0","2104.0","57.0","317.0","283.0","334.0","270.0","282.0","171.0","178.0","138.0","36.0","22.0","12.0","1.0","2.0","-","1.0"
"381.0","美浜町","18.0","99.0","3.0","26.0","22.0","12.0","6.0","4.0","6.0","5.0","7.0","3.0","3.0","1.0","1.0","-","-","-"
"382.0","日高町","19.0","389.0","16.0","194.0","69.0","42.0","28.0","14.0","7.0","11.0","5.0","-","1.0","2.0","-","-","-","-"
"383.0","由良町","20.0","198.0","12.0","65.0","30.0","21.0","20.0","16.0","15.0","11.0","7.0","-","1.0","-","-","-","-","-"
"390.0","印南町","21.0","706.0","13.0","150.0","102.0","105.0","54.0","57.0","47.0","56.0","62.0","26.0","24.0","9.0","1.0","-","-","-"
"391.0","みなべ町","22.0","1368.0","11.0","176.0","166.0","206.0","184.0","242.0","132.0","135.0","88.0","18.0","8.0","2.0","-","-","-","-"
"392.0","日高川町","23.0","736.0","52.0","279.0","94.0","78.0","58.0","57.0","34.0","32.0","32.0","12.0","7.0","1.0","-","-","-","-"
"401.0","白浜町","24.0","349.0","54.0","148.0","47.0","42.0","18.0","15.0","7.0","5.0","6.0","3.0","1.0","2.0","1.0","-","-","-"
"404.0","上富田町","25.0","368.0","14.0","112.0","71.0","63.0","30.0","23.0","16.0","18.0","8.0","5.0","6.0","2.0","-","-","-","-"
"406.0","すさみ町","26.0","102.0","28.0","43.0","18.0","1.0","3.0","3.0","4.0","1.0","1.0","-","-","-","-","-","-","-"
"421.0","那智勝浦町","27.0","147.0","40.0","65.0","12.0","15.0","6.0","4.0","2.0","1.0","-","1.0","-","1.0","-","-","-","-"
"422.0","太地町","28.0","7.0","-","4.0","2.0","1.0","-","-","-","-","-","-","-","-","-","-","-","-"
"424.0","古座川町","29.0","94.0","21.0","55.0","6.0","4.0","2.0","2.0","-","2.0","-","-","-","1.0","-","-","1.0","-"
"427.0","北山村","30.0","4.0","-","2.0","-","-","-","1.0","-","1.0","-","-","-","-","-","-","-","-"
"428.0","串本町","31.0","111.0","16.0","52.0","17.0","9.0","9.0","2.0","2.0","-","1.0","1.0","-","-","1.0","-","1.0","-"
