"地域等_番号","地域等_地域","区分","販売のあった経営体","単一経営（主位部門が80％以上の経営体）　_計","単一経営（主位部門が80％以上の経営体）　_稲作","単一経営（主位部門が80％以上の経営体）　_麦類作","単一経営（主位部門が80％以上の経営体）　_雑穀・いも類・豆類","単一経営（主位部門が80％以上の経営体）　_工芸農作物","単一経営（主位部門が80％以上の経営体）　_露地野菜","単一経営（主位部門が80％以上の経営体）　_施設野菜","単一経営（主位部門が80％以上の経営体）　_果樹類","単一経営（主位部門が80％以上の経営体）　_花き・花木","単一経営（主位部門が80％以上の経営体）　_その他の作物","単一経営（主位部門が80％以上の経営体）　_酪農","単一経営（主位部門が80％以上の経営体）　_肉用牛","単一経営（主位部門が80％以上の経営体）　_養豚","単一経営（主位部門が80％以上の経営体）　_養鶏","単一経営（主位部門が80％以上の経営体）　_養蚕","単一経営（主位部門が80％以上の経営体）　_その他の畜産","複合経営(主位部門が80％未満の経営体)"
"30.0","和歌山県","1.0","20278.0","16581.0","3323.0","2.0","14.0","195.0","539.0","335.0","11554.0","516.0","35.0","8.0","18.0","4.0","29.0","-","9.0","3697.0"
"201.0","和歌山市","2.0","2011.0","1550.0","1157.0","-","3.0","-","177.0","50.0","147.0","10.0","-","-","3.0","-","3.0","-","-","461.0"
"202.0","海南市","3.0","1291.0","1162.0","172.0","-","1.0","5.0","10.0","8.0","947.0","17.0","2.0","-","-","-","-","-","-","129.0"
"203.0","橋本市","4.0","1005.0","794.0","240.0","-","1.0","-","21.0","7.0","500.0","15.0","3.0","-","1.0","-","6.0","-","-","211.0"
"204.0","有田市","5.0","944.0","926.0","2.0","-","-","-","4.0","2.0","904.0","5.0","5.0","1.0","-","-","2.0","-","1.0","18.0"
"205.0","御坊市","6.0","585.0","352.0","121.0","-","-","-","43.0","49.0","35.0","104.0","-","-","-","-","-","-","-","233.0"
"206.0","田辺市","7.0","2036.0","1882.0","89.0","1.0","1.0","2.0","12.0","6.0","1705.0","57.0","3.0","1.0","3.0","-","1.0","-","1.0","154.0"
"207.0","新宮市","8.0","55.0","47.0","32.0","1.0","-","-","5.0","3.0","3.0","1.0","-","-","2.0","-","-","-","-","8.0"
"208.0","紀の川市","9.0","2978.0","2241.0","302.0","-","1.0","2.0","54.0","45.0","1750.0","78.0","5.0","1.0","1.0","-","2.0","-","-","737.0"
"209.0","岩出市","10.0","458.0","361.0","312.0","-","-","-","17.0","1.0","18.0","13.0","-","-","-","-","-","-","-","97.0"
"304.0","紀美野町","11.0","398.0","310.0","40.0","-","1.0","53.0","7.0","-","201.0","4.0","2.0","-","-","-","2.0","-","-","88.0"
"341.0","かつらぎ町","12.0","1058.0","958.0","48.0","-","3.0","1.0","19.0","8.0","863.0","12.0","-","1.0","2.0","-","1.0","-","-","100.0"
"343.0","九度山町","13.0","289.0","284.0","-","-","-","-","2.0","1.0","280.0","-","-","-","-","-","1.0","-","-","5.0"
"344.0","高野町","14.0","25.0","20.0","5.0","-","-","2.0","8.0","1.0","-","2.0","1.0","-","-","1.0","-","-","-","5.0"
"361.0","湯浅町","15.0","353.0","334.0","2.0","-","-","-","-","2.0","326.0","1.0","2.0","-","1.0","-","-","-","-","19.0"
"362.0","広川町","16.0","347.0","289.0","22.0","-","1.0","-","2.0","2.0","244.0","17.0","-","-","-","-","1.0","-","-","58.0"
"366.0","有田川町","17.0","2047.0","1871.0","58.0","-","1.0","112.0","10.0","10.0","1629.0","39.0","3.0","1.0","-","-","6.0","-","2.0","176.0"
"381.0","美浜町","18.0","96.0","45.0","33.0","-","-","-","4.0","5.0","2.0","1.0","-","-","-","-","-","-","-","51.0"
"382.0","日高町","19.0","373.0","233.0","176.0","-","-","-","17.0","23.0","9.0","6.0","1.0","1.0","-","-","-","-","-","140.0"
"383.0","由良町","20.0","186.0","139.0","21.0","-","-","-","4.0","-","112.0","2.0","-","-","-","-","-","-","-","47.0"
"390.0","印南町","21.0","693.0","402.0","41.0","-","-","-","62.0","83.0","163.0","52.0","-","-","-","-","-","-","1.0","291.0"
"391.0","みなべ町","22.0","1357.0","1160.0","3.0","-","-","-","4.0","4.0","1146.0","1.0","-","-","-","-","-","-","2.0","197.0"
"392.0","日高川町","23.0","684.0","425.0","74.0","-","-","1.0","27.0","19.0","275.0","27.0","1.0","-","-","1.0","-","-","-","259.0"
"401.0","白浜町","24.0","295.0","234.0","161.0","-","1.0","4.0","17.0","-","30.0","14.0","3.0","-","2.0","-","1.0","-","1.0","61.0"
"404.0","上富田町","25.0","354.0","265.0","81.0","-","-","-","-","2.0","181.0","1.0","-","-","-","-","-","-","-","89.0"
"406.0","すさみ町","26.0","74.0","56.0","40.0","-","-","-","2.0","-","9.0","2.0","-","-","-","2.0","1.0","-","-","18.0"
"421.0","那智勝浦町","27.0","107.0","83.0","44.0","-","-","13.0","9.0","2.0","11.0","-","-","-","1.0","-","2.0","-","1.0","24.0"
"422.0","太地町","28.0","7.0","7.0","-","-","-","-","-","-","7.0","-","-","-","-","-","-","-","-","-"
"424.0","古座川町","29.0","73.0","66.0","18.0","-","-","-","-","1.0","28.0","15.0","2.0","1.0","1.0","-","-","-","-","7.0"
"427.0","北山村","30.0","4.0","4.0","2.0","-","-","-","-","-","2.0","-","-","-","-","-","-","-","-","-"
"428.0","串本町","31.0","95.0","81.0","27.0","-","-","-","2.0","1.0","27.0","20.0","2.0","1.0","1.0","-","-","-","-","14.0"
